"account_id","avg_time_delta","avg_edge_symmetry_score","unique_shares_count"
"addbao7878",14.3888888888889,0.9,6
"bimaphxu",59.8235294117647,1,6
"bogjvh",57.8181818181818,1,5
"ckghjjzg",83.25,1,6
"eapxsl73604",99.0769230769231,0.8,4
"fly46167",42.25,1,6
"hhhh787804",14.3888888888889,0.9,6
"hijjk104",40.3888888888889,0.9,6
"mksmkh42612",99.0769230769231,0.8,5
"pgtiagro",83.25,1,6
"rsxbwzxf",59.8235294117647,1,6
"skakahsbs",57.8181818181818,1,6
"user13866749613390",24.3611111111111,1,6
"user1392538538860",37.8888888888889,1,6
"user1655672923020",50.5225437486823,0.927777777777778,12
"user186815388315",42.1166666666667,0.916666666666667,8
"user2147955466681",41.12,0.895238095238095,9
"user2752533925867",40.6138888888889,0.972222222222222,6
"user2902702201250",24.6388888888889,1,6
"user3372561297143",56.6666666666667,1,6
"user3399704802070",28.3636363636364,0.888888888888889,5
"user3815529460076",47.52,0.895238095238095,9
"user3840831842583",68.3896361273554,0.920634920634921,12
"user4185990161303",41.3472222222222,1,9
"user4503961859441",28.3636363636364,0.888888888888889,6
"user49141232079402",40.0933333333333,0.977777777777778,9
"user4967199663697",64.6966666666667,1,12
"user4994507114863",40.3888888888889,0.9,6
"user710495138178",61.1860513739546,0.824074074074074,11
"user7406160207374",60.4637321937322,0.861818181818182,12
"user75291696174110",68.5028641740097,0.826984126984127,10
"user8290923196733",24.3333333333333,1,6
"user8613587571080",50.64,0.933333333333333,9
"user87304845050708",67.5755555555556,0.948484848484848,12
"user8731425528153",40.9644444444444,0.977777777777778,9
"yim0828",47.0833333333333,1,6
